date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:38	420860/420860	---M--	200	added ('OK')	image/png	etag:W/%22420860-1436655764000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2022_2015_t20_plate_drcc%20166%20vs%20aacc%2069_murphy-11072015-060243.png	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2022_2015_t20_plate_drcc%20166%20vs%20aacc%2069_murphy-11072015-060243.png	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:38	2461/2461	---M--	200	added ('OK')	image/jpeg	etag:W/%222461-1437026521000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2023%20t20shield%202015%20chcc%20122%20vs%20mdcg%20122%20match%20tied-16072015-010200.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2023%20t20shield%202015%20chcc%20122%20vs%20mdcg%20122%20match%20tied-16072015-010200.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:39	109322/109322	---M--	200	added ('OK')	image/jpeg	etag:W/%22109322-1437025259000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2025%20trophy%20uncc%20103%20vs%20mmch%2088-16072015-124057.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2025%20trophy%20uncc%20103%20vs%20mmch%2088-16072015-124057.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:40	2239/2239	---M--	200	added ('OK')	image/jpeg	etag:W/%222239-1437026525000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2026%20t20%20shield%202015%20bttc%20vs%20dskw-16072015-010201.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2026%20t20%20shield%202015%20bttc%20vs%20dskw-16072015-010201.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:44	127700/127700	---M--	200	added ('OK')	image/jpeg	etag:W/%22127700-1437026520000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2023%20t20shield%202015%20chcc%20122%20vs%20mdcg%20122%20match%20tied-16072015-010200.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2023%20t20shield%202015%20chcc%20122%20vs%20mdcg%20122%20match%20tied-16072015-010200.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:45	2332/2332	---M--	200	added ('OK')	image/jpeg	etag:W/%222332-1437026525000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game25%20t20%20shield%202015%20rhcc%20vs%20dskw-16072015-010201.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game25%20t20%20shield%202015%20rhcc%20vs%20dskw-16072015-010201.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:47	185650/185650	---M--	200	added ('OK')	image/jpeg	etag:W/%22185650-1437025256000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2023%20trophy%20trcc%20167%20vs%20pcck%2069%20a.o-16072015-124056.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2023%20trophy%20trcc%20167%20vs%20pcck%2069%20a.o-16072015-124056.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:36:48	2368/2368	---M--	200	added ('OK')	image/jpeg	etag:W/%222368-1437628907000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2028%20trophy%20detc%20132%20vs%20pcck%2086_incomplete-23072015-122144.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2028%20trophy%20detc%20132%20vs%20pcck%2086_incomplete-23072015-122144.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:37:02	145871/145871	---M--	200	added ('OK')	image/jpeg	etag:W/%22145871-1437026521000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2026%20t20%20shield%202015%20bttc%20vs%20dskw-16072015-010201.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2026%20t20%20shield%202015%20bttc%20vs%20dskw-16072015-010201.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:37:02	2484/2484	---M--	200	added ('OK')	image/jpeg	etag:W/%222484-1437628909000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2030%20trophy%20gtcc%20147%20vs%20rkte%20145_incomplete-23072015-122145.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2030%20trophy%20gtcc%20147%20vs%20rkte%20145_incomplete-23072015-122145.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:37:03	113413/113413	---M--	200	added ('OK')	image/jpeg	etag:W/%22113413-1437628904000%22	http://www.mich-ca.org/images/michca/uploaded/default/game%2028%20trophy%20detc%20132%20vs%20pcck%2086_incomplete-23072015-122144.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game%2028%20trophy%20detc%20132%20vs%20pcck%2086_incomplete-23072015-122144.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:37:04	2284/2284	---M--	200	added ('OK')	image/jpeg	etag:W/%222284-1437628910000%22	http://www.mich-ca.org/images/michca/uploaded/thumb/game%2029%20trophy%20gtcc%2084%20vs%20ccou%2083_incomplete-23072015-122145.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/thumb/game%2029%20trophy%20gtcc%2084%20vs%20ccou%2083_incomplete-23072015-122145.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
22:37:05	157071/157071	---M--	200	added ('OK')	image/jpeg	etag:W/%22157071-1437026522000%22	http://www.mich-ca.org/images/michca/uploaded/default/game25%20t20%20shield%202015%20rhcc%20vs%20dskw-16072015-010201.jpg	D:/MichCA/MichCA/www.mich-ca.org/images/michca/uploaded/default/game25%20t20%20shield%202015%20rhcc%20vs%20dskw-16072015-010201.jpg	(from http://www.mich-ca.org/imageGallery.htm?categoryId=30)
